original_dir,p:\myPictures\Dropbox Backup\Camera Uploads
duplicate_dir,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads

files_indexed_dir1,9224
dirs_indexed_dir1,13
index_errors_dir1,0
index_duration_dir1,1820.02

files_indexed_dir2,1346
dirs_indexed_dir2,6
index_errors_dir2,0
index_duration_dir2,475.22

compare_duration,0.00

duplicate_files_found,1343
duplicate_size_bytes,5375686467

original_path,duplicate_path,size_bytes,hash
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.11.53.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.11.53.jpg,68950,d58d46f9b2c79fb44d5f6f5790d7ee8ab5936f14b159ac76f896b191bb89c030
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-29 13.04.08.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-29 13.04.08.jpg,70267,7d8feb4f20f024676b4a5f8eb15999fcea0594f4d7907d6d1537eee97f715f80
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.01.50.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.01.50.jpg,72231,bf2b5605c210bad69f073764370d163a522b67c0f86cc76fef042bc90a4a666f
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.29.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.29.jpg,72988,ca0f7a638385708792c92cf1bac6a0ff417e5d19b04e7abe94dc844e457d8f07
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.07.36.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.07.36.jpg,73743,7603c4aec8e001b9cc86cb2ecef9df54742c92a7a4023b6a6af7433aa27e689d
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-29 13.03.39.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-29 13.03.39.jpg,74712,072884e90188c1b6f1d8a4742f591f3017a4b9861cdb82089547c8c79d041a91
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.03.34.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.03.34.jpg,80032,b69c56c34204df1b3090ee8833a19329c478de84bfba3cdea2bbaf22e834df05
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.01.25.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.01.25.jpg,80549,0cab59e5a329f2bd1e92da65de83c4a7353e893c4a2e9c3f79e86d180b94cc38
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.30.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.30.jpg,80841,b0eb14228cd3bfa1321f43a302d42f56e29d2fb7f2beba4b421f8c32202e00c2
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.30-1.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.30-1.jpg,81577,45aece4f0dc1e100e9155b376be1ea569b8be4d3e4067a59d0e52509532f3ae8
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.06.14.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.06.14.jpg,83491,0ee2d9a2418518492876b7b297932715e35437885f836a3cdfef153ba6ad005c
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 06.59.53.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 06.59.53.jpg,90053,e4e2f289d24b0ca668475d5deb6cde1896533feca542384320fa7013a5304bd7
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.09.14.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.09.14.jpg,100910,c2823472fbd9f1feecb0acec42c173bcd098ce28af50533895542c73a47d3c48
p:\myPictures\Dropbox Backup\Camera Uploads\2014\2014-12-29 13.01.24.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2014\2014-12-29 13.01.24.jpg,108361,f597184054aef56a4a5611964ec4237cb4933d646d13a1dda45775f17004b08e
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-05-13 19.21.18.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-05-13 19.21.18.jpg,108447,5124b8df7dce7318f4356645c5e84560bc466c11d3ab2f79acfa5c8e02fcb1f6
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-12-29 09.37.44.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-12-29 09.37.44.png,114316,40377564b22a8d514a51ef8e7f8c018fe04f86c622b8856b71ed62437293f506
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-11-29 08.13.42.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-11-29 08.13.42.png,114412,7021ee0280a3b0226c83ad0ec1d80efeedb455251d79e5db0017d94cb0457773
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-07 18.12.11.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-07 18.12.11.png,117700,75b54c83e1ff50b42d2646003b7f62bf60fe2112da9ab76e79e3f1c30ecaa14c
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.01.07.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.01.07.jpg,121974,423191ceeac32af4b5f99f8839b2574e0dcc93cd7cf6da867ce1c49212ee22b8
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 06.59.28.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 06.59.28.jpg,122136,37a1842277ddb4866d79fd038439148867a690af1c2c6ffede0e28d5713e8ec8
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 06.59.09.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 06.59.09.jpg,124529,5977c0b57bf680715b21abf71f6e7863f61e8319118414d5b303d8643f372b3f
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.30-2.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-24 21.43.30-2.jpg,126463,3b37209de44351eba020836f8527a7a2287dc2658bd8676d713e3ee61e32f919
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-09-17 14.06.20-1.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-09-17 14.06.20-1.jpg,127683,1c2e467534007aa9d95d5bb9137768f16926061c945fa937e0729631633959b5
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-24 08.41.18.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-24 08.41.18.png,136549,ac2875f428ce7a78eb42ddcb281430a0fadc029f60df3d6b2cc3947eaa18468d
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-01 04.00.57.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-01 04.00.57.png,142409,de94853250661daa7e717cdc1a9f280ac80643af71234a2d3ff7f4a1b4f5a5af
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-04 18.11.17.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-04 18.11.17.png,143612,4a16578eab88feabc0223f05c90f20e49f0854b49a42a4b9756bc1dcc50828b8
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-10-29 14.08.24-2.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-10-29 14.08.24-2.jpg,158624,992ab676a61aa87df87fd1462bb05e923801a7f42252ba7837f6371e8c8c13a1
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-10-29 14.08.24-1.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-10-29 14.08.24-1.jpg,159914,0efbd8c959b98d0eeda017869378f15ff160e855e4d7f6fbde90964b6c61b10d
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.00.53.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-18 07.00.53.jpg,165481,6bbffcdd71e26bb403d1864aff91f497f780f1c703dd4c2537bf69881141ad32
